source_id,legacy_work_key,original_path,original_sha1,original_lines,segment_no,start_line,end_line,extract_id,extract_role,extract_path,extract_body_sha1
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,42,2932,2993,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,43,2994,3077,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,44,3078,3136,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,45,3137,3149,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,46,3150,3175,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,47,3176,3235,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,48,3236,3286,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,49,3287,3335,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,50,3336,3384,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,51,3385,3432,LX-WS-0064-STR-06,STRATEGY,records/history/archive/LX-WS-0064-STR-06_LEGACY.md,CA95F53C9B043E928C13E548F4D34AAB92AB30A9
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,52,3433,3489,LX-WS-0064-STR-06,STRATEGY,records/history/archive/LX-WS-0064-STR-06_LEGACY.md,CA95F53C9B043E928C13E548F4D34AAB92AB30A9
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,53,3490,3556,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,54,3557,3640,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,55,3641,3706,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,56,3707,3772,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,57,3773,3832,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,58,3833,3875,LX-WS-0064-CTX-07,CONTEXT,records/history/archive/LX-WS-0064-CTX-07_LEGACY.md,4369409E9D975E26584B526188FDC9480B15C706
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,59,3876,3939,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,60,3940,4033,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,61,4034,4129,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,62,4130,4181,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,63,4182,4245,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,64,4246,4304,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,65,4305,4359,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,66,4360,4393,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
