catalog_version,catalog_code,catalog_hash,param_id,row_code,calibration_valid,status,reason_codes,picks_count,trade_count,coverage_days,avg_ret_net_top,median_ret_net_top,p25_ret_net_top,month_win_rate_min,month_avg_ret_net_min,win_rate_top
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,59,06_LIQUIDITY_QUALITY_CORE,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1407,1407,508,-0.0033684340528922887,-0.015202280342051308,-0.04334925823485039,0.20689655172413793,-0.021550268440632757,0.3845060412224591
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,60,07_LOW_ATR_STABILITY_CORE,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1294,1294,507,-0.002692139233424145,-0.010634228381940489,-0.037924371514672164,0.125,-0.025032256524194812,0.38871715610510044
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,61,08_RISK_BREAKOUT_BALANCED_HIGH_Q,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1343,1343,507,-0.002621774511069412,-0.0167565890231329,-0.048224365600005245,0.16363636363636364,-0.026612975926298178,0.39166046165301566
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,62,09_CANDIDATE_REDUCTION_EXTREME_Q,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1146,1146,507,-0.0017553339340369682,-0.011946533104447536,-0.04230751084701563,0.15384615384615385,-0.026502060226014014,0.4031413612565445
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,63,00_C03_LOW_ATR_STABILITY_REFERENCE,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,96,96,497,-0.0009191137998555465,-0.007808790210054026,-0.03310224702136568,0,-0.059180654048262844,0.4375
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,64,01_BALANCED_COMPONENT_FLOOR_CORE,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,113,113,499,0.0014659954647405619,-0.0005025125628140704,-0.031026825901698373,0,-0.059180654048262844,0.4778761061946903
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,65,02_BREAKOUT_VOLUME_RISK_CORE,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,120,120,499,0.004019194731065194,-0.0005012329477829806,-0.0314984557595214,0,-0.059180654048262844,0.49166666666666664
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,66,03_MODERATE_LIQUIDITY_ROC_BAND,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,128,128,499,-0.00019202232144405738,-0.006808914095821465,-0.038733958418010264,0,-0.059180654048262844,0.4453125
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,67,04_PRIOR_STRENGTH_NOT_CHASE,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,106,106,502,0.002454317674304641,-0.008379859145273658,-0.03888099359514642,0,-0.11241236536018961,0.42452830188679247
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,68,05_LOW_ATR_DOWNSIDE_CONTROL,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,87,87,499,-0.0017380065855228091,-0.008627929296968727,-0.030868251660526605,0,-0.059180654048262844,0.41379310344827586
