legacy_source_id,original_path,current_primary_path,role,sha1
LS-MD-0167,examples/README.md,development/implementation/examples/legacy/README.md,IMPLEMENTATION_EXAMPLE,D1933D72EB261D7A6CD37FE37D68675DDF986CFD
LS-MD-0168,indicators/EOD_Indicators_Formula_Spec.md,authority/strategy/indicators/EOD_Indicators_Formula_Spec.md,STRATEGY,F72C7BFD4657D1450A50D710C8CE6C7BB6E9696A
LS-MD-0169,indicators/Indicator_Computation_Specification.md,authority/strategy/indicators/Indicator_Computation_Specification.md,STRATEGY,9837A0212E672292EBA55755B70B59892AC6B097
LS-MD-0170,ops/Archived_Actual_Execution_Evidence_Contract_LOCKED.md,authority/strategy/ops/Archived_Actual_Execution_Evidence_Contract_LOCKED.md,STRATEGY,A4F20DDC13F3B552646DADB3798CC9D50374594E
LS-MD-0171,ops/Audit_Evidence_Pack_Contract_LOCKED.md,authority/strategy/ops/Audit_Evidence_Pack_Contract_LOCKED.md,STRATEGY,0B1739489EA556F9607AF0B962348E9EA6199876
LS-MD-0172,ops/Audit_Query_Cookbook_LOCKED.md,development/implementation/ops/Audit_Query_Cookbook_LOCKED.md,IMPLEMENTATION_GUIDANCE,968D6A1E6F55CE346F309A18D8DC58596D5FFF41
LS-MD-0173,ops/Bootstrap_and_Backfill_Runbook_LOCKED.md,development/implementation/ops/Bootstrap_and_Backfill_Runbook_LOCKED.md,IMPLEMENTATION_GUIDANCE,F951ADF91550A083E6DC09FA0EBB2BFF1896E155
LS-MD-0174,ops/COMMAND_SURFACE_SAFETY_INVENTORY.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,4A1D5DF36286F6499A44A9A6E49E45976F3253D1
LS-MD-0184,ops/Commands_and_Runbook_LOCKED.md,authority/strategy/ops/Commands_and_Runbook_LOCKED.md,STRATEGY,4428F3611A536ECB6BAED4FB00D59A5031B0AA74
LS-MD-0185,ops/Config_Change_Protocol_LOCKED.md,authority/strategy/ops/Config_Change_Protocol_LOCKED.md,STRATEGY,FBAC0291FEA9C1C4B073C44A62BF46D6198BA0CC
LS-MD-0186,ops/Credentials_and_Secrets_Contract.md,authority/strategy/ops/Credentials_and_Secrets_Contract.md,STRATEGY,BD75710F5EE9183EEE6F98EF243C47E3AF078BFA
LS-MD-0187,ops/Daily_Pipeline_Execution_and_Sealing_Runbook_LOCKED.md,development/implementation/ops/Daily_Pipeline_Execution_and_Sealing_Runbook_LOCKED.md,IMPLEMENTATION_GUIDANCE,2FEE94EE5FDE6C2CE29C54E60DD423B9E2070171
LS-MD-0188,ops/Error_Taxonomy_and_Run_Status_Decision_Table_LOCKED.md,authority/strategy/ops/Error_Taxonomy_and_Run_Status_Decision_Table_LOCKED.md,STRATEGY,92B4154C9DBD2CB2C3CC1DE625152F2A13F8D0DE
LS-MD-0189,ops/Executed_Run_Admission_Criteria_LOCKED.md,authority/strategy/ops/Executed_Run_Admission_Criteria_LOCKED.md,STRATEGY,16A5B0AEBC4157FF3414FD1CCF06235D85B5DFF3
LS-MD-0190,ops/Failure_Playbook_LOCKED.md,development/implementation/ops/Failure_Playbook_LOCKED.md,IMPLEMENTATION_GUIDANCE,4F901F134DC7B5E82CEE174CE11F773F2ECFC63C
LS-MD-0191,ops/Historical_Correction_Runbook_LOCKED.md,development/implementation/ops/Historical_Correction_Runbook_LOCKED.md,IMPLEMENTATION_GUIDANCE,54C0625ECFF018B30CB5A67FDE87DA54CF025B46
LS-MD-0192,ops/History_Table_Immutability_Guards_LOCKED.sql,development/implementation/ops/History_Table_Immutability_Guards_LOCKED.sql,IMPLEMENTATION_GUIDANCE,2294F27FB6F7CD12414A4FFE94A6775E8D2026A3
LS-MD-0193,ops/IMPLEMENTATION_GUIDE.md,development/implementation/ops/IMPLEMENTATION_GUIDE.md,IMPLEMENTATION_GUIDANCE,B1C243C0495F656521E520460BA2D8DB0473686A
LS-MD-0194,ops/Incident_Classification_and_Response_Matrix_LOCKED.md,authority/strategy/ops/Incident_Classification_and_Response_Matrix_LOCKED.md,STRATEGY,4807F1AC422E996EC04951E7CA0BE6BBBE9B1FEB
LS-MD-0197,ops/LOGGING_TRACEABILITY_REASON_CODES_INVENTORY.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,A1940E4465EB5BE5C45139CB797981907401A453
LS-MD-0195,ops/Locking_Implementation_Standard_LOCKED.md,development/implementation/ops/Locking_Implementation_Standard_LOCKED.md,IMPLEMENTATION_GUIDANCE,68C4D47E37CEC7426C8DB16BB6F9FD6A79AC2D1D
LS-MD-0196,ops/Logging_Schema_JSON_LOCKED.md,development/implementation/ops/Logging_Schema_JSON_LOCKED.md,IMPLEMENTATION_GUIDANCE,174C13F5F636C59D3A454FA8E4EAEBD761D902BE
LS-MD-0199,ops/OPERATIONAL_RUNBOOK.md,development/implementation/ops/OPERATIONAL_RUNBOOK.md,IMPLEMENTATION_GUIDANCE,2C25F532C2559924577739109EA36A9DE7267112
LS-MD-0201,ops/OPS_ENVIRONMENT_BASELINE.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,4CD43340DAE04A7BB47B9DBDD430FACBC6FCAEF5
LS-MD-0198,ops/Observability_Minimum_Contract_LOCKED.md,authority/strategy/ops/Observability_Minimum_Contract_LOCKED.md,STRATEGY,D4603CC806C63DA66F926BC34165F94252045542
LS-MD-0200,ops/Operator_Decision_Trees_LOCKED.md,authority/strategy/ops/Operator_Decision_Trees_LOCKED.md,STRATEGY,FCB64429D4A520D95127800A9EBB87F100030B4E
LS-MD-0202,ops/Performance_SLO_and_Limits_LOCKED.md,authority/strategy/ops/Performance_SLO_and_Limits_LOCKED.md,STRATEGY,29B65C554AF9BEA3742E11823A82D41DFBA11208
LS-MD-0208,ops/RUN_PUBLICATION_POINTER_LINKAGE_INVENTORY.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,D27A829A793A182A7BEF9796B85546AC7329B73A
LS-MD-0203,ops/Release_Gates_LOCKED.md,authority/strategy/ops/Release_Gates_LOCKED.md,STRATEGY,E2C5D627AAC62E1C58735DEA7433DCC336B1DD98
LS-MD-0204,ops/Resumable_Backfill_Contract_LOCKED.md,authority/strategy/ops/Resumable_Backfill_Contract_LOCKED.md,STRATEGY,689572A8815FC6D9FB6894A3E252CC6FB6A70F4B
LS-MD-0205,ops/Run_Artifacts_Format_LOCKED.md,authority/strategy/ops/Run_Artifacts_Format_LOCKED.md,STRATEGY,4D5A48BCAE4046BE1385B941DFE566CF5B9672A9
LS-MD-0206,ops/Run_Execution_Evidence_Pack_Contract_LOCKED.md,authority/strategy/ops/Run_Execution_Evidence_Pack_Contract_LOCKED.md,STRATEGY,FFA1C871D67F76E0171FD9FD40AB5083A13DC18F
LS-MD-0207,ops/Run_Ownership_and_Recovery_LOCKED.md,authority/strategy/ops/Run_Ownership_and_Recovery_LOCKED.md,STRATEGY,2E16C17FDBC4E916FE9E57C3508CCC27A123E0BC
LS-MD-0209,ops/Scheduling_and_Locking_Contract_LOCKED.md,authority/strategy/ops/Scheduling_and_Locking_Contract_LOCKED.md,STRATEGY,A20EB0B337834E2CB896F871B0DA97456FE9446B
LS-MD-0175,ops/commands/01_DAILY_PIPELINE.md,development/implementation/ops/commands/01_DAILY_PIPELINE.md,IMPLEMENTATION_GUIDANCE,DAB5198E14C3C211FC44D2B7BF7B86A8758096D0
LS-MD-0176,ops/commands/02_IMPORT_DATA.md,development/implementation/ops/commands/02_IMPORT_DATA.md,IMPLEMENTATION_GUIDANCE,EB63C6C735DD89924E693115DE22D45AE3DB0927
LS-MD-0177,ops/commands/03_PROCESS_DATASET.md,development/implementation/ops/commands/03_PROCESS_DATASET.md,IMPLEMENTATION_GUIDANCE,6A7457278256D9BC6943A268545D87F042BC9817
LS-MD-0178,ops/commands/04_FINALIZE_AND_PUBLISH.md,development/implementation/ops/commands/04_FINALIZE_AND_PUBLISH.md,IMPLEMENTATION_GUIDANCE,8D25208FE3B3E05BA02B1BD9548C02EE54CF2160
LS-MD-0179,ops/commands/05_BACKFILL.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,7D024D1A49999C8FD30899BF32AC78581D6AE221
LS-MD-0180,ops/commands/06_CORRECTION.md,development/implementation/ops/commands/06_CORRECTION.md,IMPLEMENTATION_GUIDANCE,ACE96468A4193A1B93A69CAFAFD4DAEE4144D903
LS-MD-0181,ops/commands/07_REPLAY_AND_EVIDENCE.md,development/implementation/ops/commands/07_REPLAY_AND_EVIDENCE.md,IMPLEMENTATION_GUIDANCE,69ACD8C419949E186A34113EFB82E20FF9E2C0CD
LS-MD-0182,ops/commands/08_SESSION_SNAPSHOT.md,development/implementation/ops/commands/08_SESSION_SNAPSHOT.md,IMPLEMENTATION_GUIDANCE,9BA58A88F2700119830D4E006D2F97BB5DFAF8E7
LS-MD-0183,ops/commands/README.md,development/implementation/ops/commands/README.md,IMPLEMENTATION_GUIDANCE,A062A30EBA5E4C426F3E0BD2DEAF7BB0B5109556
LS-MD-0210,patches/README.md,records/history/archive/patches/README.md,HISTORY,BB5EBE47ACC0D12B4B54A92F3E6ED4DC53B92143
LS-MD-0211,patches/TRADING_STATUS_NON_EXCLUSION_CLEAR_PATCH.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,D7FA2DA1E496AD9DA1448E9736FD87DDADE28E6C
LS-MD-0212,patches/TRADING_STATUS_SEMANTICS_LONG_SUSPENSION_CLOSURE_2026_07_02.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,A26CB394EAA179AFC224499200FE3C7B5AAE0E7B
