source_id,original_path,original_sha1,source_start_line,source_end_line,extract_id,extract_role,extract_path,extract_body_sha1,coverage_status
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,1,10,LX-MD-0019-IMP-01,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0019-IMP-01_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,7D6A84B121374AAEDEF703467CEDC8E3FB8A6E70,COVERED_EXACTLY_ONCE
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,11,27,LX-MD-0019-GOV-01,GOVERNANCE,records/history/archive/semantic/LX-MD-0019-GOV-01_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,323DCF85FD8B804564DFFF71F718FD0E95A33B1B,COVERED_EXACTLY_ONCE
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,28,111,LX-MD-0019-IMP-02,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0019-IMP-02_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,63116A9DCE2B73567825EF5A39E7DE841894B03F,COVERED_EXACTLY_ONCE
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,112,123,LX-MD-0019-DEC-01,DECISION,records/decisions/legacy/LX-MD-0019-DEC-01_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,EADEAF01E699F0EFFC331E65499B4C7333D2C13D,COVERED_EXACTLY_ONCE
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,124,159,LX-MD-0019-IMP-03,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0019-IMP-03_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,3B842CD2B8AEC0D7FAE61E958D88BBF5723E698C,COVERED_EXACTLY_ONCE
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,160,169,LX-MD-0019-EVD-01,EVIDENCE,records/evidence/legacy/semantic/LX-MD-0019-EVD-01_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,2B9BDD83DBA2008B6F785CB40BB6593924B27CDD,COVERED_EXACTLY_ONCE
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,170,174,LX-MD-0019-DEC-02,DECISION,records/decisions/legacy/LX-MD-0019-DEC-02_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,604480CFD87083922322040555F9FF13A9685898,COVERED_EXACTLY_ONCE
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,175,181,LX-MD-0019-RES-01,RESEARCH,records/history/archive/semantic/LX-MD-0019-RES-01_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,474D97F9EB06628DF98BCE523E05C1E721387134,COVERED_EXACTLY_ONCE
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,182,236,LX-MD-0019-FND-01,FINDING,records/history/archive/semantic/LX-MD-0019-FND-01_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,0C2D55FBA480B495EC96792B788E44E4AEBC7CE1,COVERED_EXACTLY_ONCE
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,237,254,LX-MD-0019-CTX-01,CONTEXT,records/history/archive/semantic/LX-MD-0019-CTX-01_CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,9A3791B709DB0C0EBB6B157BD878EBCDD5DB73B5,COVERED_EXACTLY_ONCE
